location,bedrooms,sqft,bathrooms,property_age,parking,stories,price
Mumbai,6,2503,1,9,2,1,4890344.26
Hyderabad,4,2580,4,6,1,4,4958898.85
Bengaluru,6,3193,1,29,2,2,4798568.0
Hyderabad,4,2849,4,12,2,3,4937959.37
Lucknow,1,2217,1,3,0,2,1799091.12
Visakhapatnam,6,3458,4,11,1,1,3857464.33
Hyderabad,6,3529,3,5,2,1,5260025.62
Chennai,3,1893,1,0,0,2,2787711.24
Nagpur,6,3196,4,8,0,3,3655663.28
Chennai,5,3008,2,25,2,4,4557327.77
Bhopal,5,2993,3,13,1,2,3342983.7
Nagpur,6,2511,1,2,2,3,3563193.7
Bengaluru,1,2252,4,13,0,1,3162668.59
Delhi,5,3214,4,4,1,1,5172988.9
Bhopal,3,2360,4,22,1,2,2886671.03
Delhi,5,3071,4,2,1,2,5382979.3
Bhopal,5,2953,4,7,0,3,3708082.95
Nagpur,2,2172,1,7,0,3,1971898.43
Chennai,4,2797,2,13,2,4,4291961.83
Delhi,3,2123,1,1,0,1,2958990.76
Mumbai,4,2049,3,10,1,1,4457547.65
Chennai,1,2084,2,16,1,4,2887327.33
Ahmedabad,5,2573,4,21,0,1,3329615.08
Hyderabad,3,1971,1,16,2,3,3474810.26
Visakhapatnam,4,2561,1,18,1,4,2981793.42
Kolkata,1,1809,2,4,2,2,2460003.02
Bhopal,4,2369,2,25,0,3,2580087.11
Mumbai,3,2884,4,3,0,1,4557657.08
Chennai,4,2791,3,2,1,3,4501112.57
Jaipur,1,2238,3,2,1,2,2805285.78
Coimbatore,6,2881,4,4,2,2,4138727.94
Jaipur,1,1903,2,12,1,1,2171747.31
Kolkata,3,2780,4,1,1,4,4334915.46
Delhi,4,2923,2,13,1,3,4340074.68
Lucknow,6,2752,2,4,1,3,3841423.36
Chennai,4,2982,3,15,1,4,4352586.01
Lucknow,2,2404,3,26,1,3,2533750.38
Visakhapatnam,4,2586,3,13,0,2,3025600.26
Lucknow,5,2969,2,16,2,1,3241525.34
Coimbatore,4,2306,2,19,1,3,3111892.31
Visakhapatnam,6,2689,1,23,1,4,3677343.09
Chennai,6,2564,3,23,0,3,4592747.82
Bhopal,2,2927,4,23,1,1,2525129.97
Jaipur,5,3179,4,15,2,4,4673958.03
Ahmedabad,5,3106,4,23,2,1,3677068.0
Nagpur,3,2476,1,27,0,2,1809725.32
Bhopal,6,2952,3,5,0,1,3411401.38
Lucknow,6,3237,4,4,1,4,4737811.97
Hyderabad,1,2436,1,2,1,2,2326153.65
Ahmedabad,6,2969,2,15,1,3,3978602.78
Kolkata,4,2539,2,29,1,1,2844475.42
Jaipur,1,2438,3,4,1,1,2535066.24
Hyderabad,6,2871,2,4,1,3,5113491.2
Delhi,4,2568,2,15,2,4,4724209.83
Delhi,4,2590,1,2,1,4,4498718.56
Delhi,1,1930,3,25,0,1,2317544.08
Bengaluru,3,2303,1,21,2,2,3611244.3
Coimbatore,2,2121,2,24,2,2,2126256.83
Delhi,5,2428,4,14,1,2,4979092.96
Nagpur,4,2430,2,5,0,4,3137452.62
Kolkata,1,2238,2,3,1,4,2858941.63
Kolkata,1,1873,2,10,0,3,2184770.56
Nagpur,6,3219,1,19,2,1,2998560.54
Nagpur,5,2345,2,25,1,3,3160707.35
Pune,4,2544,1,19,1,4,3647969.33
Ahmedabad,6,3136,3,9,2,4,4594376.84
Lucknow,4,2319,1,5,1,3,3046174.96
Visakhapatnam,4,2455,2,25,2,3,3150223.76
Lucknow,5,2846,1,20,2,2,2980499.64
Delhi,1,1516,2,6,1,1,2510766.84
Chennai,3,2513,2,26,2,4,3755815.51
Kolkata,5,2928,2,19,2,4,4258096.89
Kolkata,2,2546,4,20,2,2,3145320.28
Ahmedabad,2,2188,4,13,1,2,2906574.73
Chennai,3,2907,4,16,2,1,3799026.56
Visakhapatnam,3,2325,1,3,1,2,2482866.47
Pune,4,2660,4,22,1,4,4448828.01
Kolkata,6,3102,4,25,1,2,4385916.54
Hyderabad,5,2753,1,22,0,3,3698489.2
Bengaluru,3,2611,2,8,2,3,4304475.55
Chennai,4,2895,4,2,2,1,4674047.54
Lucknow,1,1649,3,17,2,3,2456989.71
Ahmedabad,1,1986,4,22,2,2,2461378.45
Kolkata,1,2131,2,17,1,1,2016029.49
Jaipur,3,2472,3,23,0,4,3167670.19
Visakhapatnam,1,2041,2,29,0,3,1670689.99
Visakhapatnam,6,3178,4,1,0,2,4172404.6
Nagpur,2,2290,2,3,0,3,2417611.05
Ahmedabad,3,2633,2,26,1,3,2831440.7
Mumbai,5,3029,3,12,2,1,5466610.32
Chennai,4,2269,1,23,1,2,2937468.15
Coimbatore,2,2430,2,13,0,3,2421301.14
Visakhapatnam,2,2859,4,17,1,2,2876807.33
Lucknow,6,2776,3,15,2,4,4479287.63
Kolkata,4,2376,1,14,2,1,2851357.61
Kolkata,5,2970,3,18,2,3,4258684.7
Jaipur,4,2691,3,19,2,1,3560627.52
Visakhapatnam,6,2772,1,10,2,4,3884578.0
Bhopal,6,2880,3,4,0,4,4027403.58
Pune,4,2502,2,5,1,3,3693269.83
Delhi,3,2108,3,6,2,2,4333534.32
Lucknow,4,2626,3,0,2,1,3378237.39
Bengaluru,1,2179,4,24,0,1,2622973.03
Visakhapatnam,2,2564,4,8,1,1,2958833.67
Kolkata,2,2158,2,2,2,3,3206318.41
Chennai,3,2029,1,10,2,3,3471797.47
Mumbai,1,2419,3,14,2,2,3492505.6
Bengaluru,4,2576,3,11,2,2,4719691.59
Kolkata,6,2331,1,27,2,1,3238676.89
Bengaluru,2,2640,4,9,0,2,3982346.85
Lucknow,2,2314,4,7,0,1,2519809.96
Coimbatore,3,2297,1,20,1,2,2262957.26
Jaipur,1,1950,2,13,1,1,1812186.93
Coimbatore,1,1669,1,12,1,3,1923384.26
Mumbai,2,2405,4,2,0,2,4036981.23
Hyderabad,5,2753,1,20,2,2,3945037.81
Jaipur,3,2096,2,17,2,2,3119970.29
Kolkata,5,3033,4,26,0,1,3647480.23
Hyderabad,2,1920,1,27,2,4,3091052.42
Delhi,4,2695,3,4,0,2,4209917.4
Mumbai,6,2791,1,8,0,3,5003515.78
Nagpur,6,3496,1,1,2,3,3604397.86
Pune,5,2781,2,10,2,4,4585221.18
Mumbai,6,3022,1,25,0,4,5134390.53
Kolkata,1,1851,2,20,1,1,2045354.51
Ahmedabad,1,1894,3,23,1,2,2006018.82
Kolkata,5,3342,4,24,1,2,3999236.82
Nagpur,4,1966,1,17,0,1,1979563.58
Bengaluru,3,2719,2,21,0,1,2863700.76
Nagpur,4,2423,3,5,2,4,3735605.7
Kolkata,6,2872,4,26,0,2,4076567.88
Mumbai,1,1889,3,0,0,2,3157595.4
Nagpur,2,2660,3,10,1,1,2398942.06
Mumbai,6,3120,4,9,2,2,6213185.54
Bengaluru,2,2330,1,10,1,1,2912055.94
Jaipur,5,3111,1,4,1,2,3431937.88
Hyderabad,1,1896,2,15,2,1,2423259.33
Chennai,4,2653,3,1,2,3,4687972.71
Chennai,3,2357,2,4,2,3,3830175.98
Coimbatore,1,1431,1,27,1,4,1871191.53
Mumbai,5,2801,1,18,1,1,4009909.46
Jaipur,4,2279,3,10,0,4,3537063.36
Visakhapatnam,5,2429,2,16,1,2,3174218.77
Mumbai,1,2308,1,25,0,1,1794716.69
Bengaluru,1,1551,2,7,0,4,3087613.34
Delhi,4,2232,2,28,0,1,3076065.69
Ahmedabad,6,2645,4,17,0,3,4285060.23
Pune,4,2635,3,18,1,1,3403657.26
Lucknow,3,1602,1,29,2,1,2042475.89
Chennai,2,2155,1,17,1,1,2345165.3
Jaipur,3,2180,3,11,1,1,2965275.91
Ahmedabad,4,2432,1,16,1,2,2715332.91
Mumbai,5,2925,3,16,2,2,5385738.18
Jaipur,3,2525,4,23,0,2,3056999.57
Chennai,1,2421,4,28,0,2,2530393.66
Ahmedabad,3,2227,1,29,1,1,1894627.61
Nagpur,6,3452,4,17,2,3,4084944.75
Hyderabad,2,1823,2,6,1,4,3400717.69
Bengaluru,2,2165,3,15,0,1,3173125.57
Pune,5,3686,4,25,2,3,4837186.98
Jaipur,6,2785,1,24,2,1,3490555.49
Ahmedabad,2,2547,4,28,0,1,2483444.96
Kolkata,6,2868,2,25,0,3,3797616.81
Mumbai,3,2923,4,26,2,3,4807824.8
Delhi,4,2834,3,18,0,1,3417783.16
Pune,2,2588,1,21,0,1,1915575.87
Chennai,4,2599,4,8,1,4,4869377.37
Hyderabad,5,3157,3,8,0,4,4814534.37
Mumbai,4,2927,3,8,0,1,4312240.85
Chennai,6,3173,3,4,2,1,5017318.69
Pune,3,2588,2,19,0,2,2967260.56
Delhi,4,2591,1,18,2,3,4167901.41
Mumbai,2,2073,1,2,1,4,3680704.44
Ahmedabad,6,2493,2,1,0,4,3944650.39
Hyderabad,2,1873,1,24,0,1,1870871.42
Visakhapatnam,2,2207,2,8,0,4,2615717.69
Delhi,6,2800,1,23,2,3,4792359.36
Visakhapatnam,1,1853,1,2,0,2,1686800.72
Bhopal,4,2142,2,6,0,3,2834486.23
Hyderabad,1,2486,4,27,0,2,2588848.97
Lucknow,4,3015,4,9,1,1,3314963.86
Kolkata,6,2759,4,19,0,3,4404872.8
Pune,2,2335,3,10,1,4,3632462.23
Chennai,1,1797,2,26,2,3,2680097.76
Jaipur,4,2014,4,17,0,1,3219297.55
Mumbai,4,2391,2,20,1,2,4148060.9
Bhopal,5,2949,2,24,2,1,2886859.86
Kolkata,6,3101,3,15,1,4,4834382.25
Delhi,5,2962,3,8,1,3,5121375.76
Chennai,1,1663,3,4,2,2,3069630.64
Bengaluru,3,2123,1,22,1,3,3455959.18
Nagpur,5,2577,2,8,0,1,2739582.48
Pune,6,2834,2,25,1,1,3924493.68
Nagpur,2,2216,4,3,1,2,2821066.53
Chennai,2,1970,3,25,2,3,3256172.06
Lucknow,1,2407,3,26,2,2,2151450.95
Lucknow,2,2661,4,11,2,3,3202315.59
Chennai,4,2422,1,11,0,1,3169608.82
Pune,5,3109,2,0,0,4,4606721.65
Bengaluru,3,2515,2,19,0,3,3533294.52
Coimbatore,2,2343,3,8,0,1,2324547.88
Chennai,5,2792,2,19,0,3,3954336.84
Hyderabad,3,2583,4,28,2,1,3594640.09
Delhi,3,1763,3,13,0,2,3584607.99
Coimbatore,4,2656,4,11,2,3,3777554.51
Chennai,6,3361,3,25,0,2,4338751.86
Kolkata,3,2661,3,14,0,2,2843589.23
Coimbatore,1,2189,4,20,2,1,2430825.05
Chennai,5,2456,3,4,2,2,4806305.16
Bhopal,5,2951,1,9,1,2,3105762.08
Delhi,6,2490,1,21,0,3,4611523.75
Delhi,2,2129,1,8,2,3,3389154.55
Jaipur,1,1998,3,3,0,2,2338774.05
Coimbatore,1,1686,3,25,1,1,1861022.21
Coimbatore,1,1840,1,14,1,4,2026278.08
Coimbatore,4,2762,2,17,1,4,3094393.42
Kolkata,3,2614,4,28,0,4,3408533.9
Nagpur,5,3264,2,9,0,4,3345842.03
Hyderabad,1,2325,3,15,0,3,2906252.29
Mumbai,1,1838,1,7,1,2,2650664.57
Kolkata,2,2106,1,10,2,1,2485785.62
Delhi,5,3237,4,29,2,1,4660845.41
Kolkata,6,2965,2,23,2,4,4491672.38
Chennai,1,1308,1,9,1,2,2032636.56
Pune,4,2653,3,22,2,3,3954965.94
Mumbai,2,1899,1,28,0,4,2949951.86
Lucknow,5,2985,4,28,0,1,3221161.11
Delhi,1,2206,4,6,0,3,3431256.2
Visakhapatnam,6,3062,4,18,0,1,3548030.99
Bengaluru,2,2302,2,4,2,3,4140067.77
Hyderabad,4,2569,1,11,1,4,4124918.28
Jaipur,4,2375,3,10,0,4,3826402.44
Chennai,3,2559,4,14,1,2,3892038.1
Jaipur,1,2225,3,1,1,4,3100956.16
Mumbai,2,2102,3,4,2,1,4083580.25
Chennai,6,2809,1,7,0,3,4375098.82
Nagpur,5,3506,4,2,2,2,3830801.98
Ahmedabad,1,2478,4,13,2,4,3106264.01
Ahmedabad,6,2584,4,1,2,2,4781723.24
Jaipur,3,2207,1,6,1,1,2331090.72
Ahmedabad,5,2628,2,28,0,4,3484076.79
Chennai,2,2212,2,7,0,2,2779358.06
Bengaluru,4,2966,1,2,2,4,4758796.32
Pune,6,2962,2,5,2,3,4962829.89
Delhi,6,2910,1,22,0,4,4713024.73
Ahmedabad,4,2657,3,21,1,4,3476013.73
Visakhapatnam,1,2447,4,19,0,4,2403428.05
Chennai,2,2140,1,23,0,1,1764520.09
Nagpur,3,2418,3,0,1,3,2994772.97
Kolkata,6,3320,4,6,2,4,5265806.7
Bengaluru,2,1994,3,9,1,2,3708096.64
Lucknow,5,3102,4,2,0,4,4259688.82
Delhi,6,2806,2,14,0,4,5169142.29
Mumbai,3,2052,1,8,1,3,3867124.84
Mumbai,3,2813,4,29,2,1,4164654.5
Visakhapatnam,2,1850,2,22,1,4,2290648.74
Nagpur,3,2014,3,23,2,4,3114535.64
Lucknow,6,2905,1,10,0,4,3457467.14
Pune,4,2485,4,5,2,3,4806098.69
Visakhapatnam,1,1623,2,1,0,3,2097736.27
Coimbatore,5,2874,4,28,0,1,3331018.21
Chennai,2,1799,2,17,0,2,2751067.45
Bengaluru,4,2860,1,8,1,2,3997134.71
Mumbai,3,2822,4,28,2,4,5025982.59
Bhopal,1,1850,1,23,0,3,1644208.01
Jaipur,5,2886,4,6,0,4,4013952.81
Lucknow,5,2534,3,9,1,2,3613834.63
Visakhapatnam,3,2164,1,2,1,1,2352235.23
Kolkata,1,1342,2,24,2,2,2152316.18
Visakhapatnam,2,2075,2,20,2,2,2435007.32
Mumbai,6,3336,4,4,2,1,6292041.7
Visakhapatnam,6,2828,1,8,1,2,3509842.67
Bhopal,2,1948,1,3,0,3,2114918.08
Lucknow,3,2679,3,1,1,4,3158383.59
Visakhapatnam,3,2337,4,6,1,2,3009217.78
Jaipur,3,2936,4,25,2,1,3298861.05
Bengaluru,5,2411,3,9,2,3,5455238.44
Mumbai,6,3024,1,5,1,1,4879324.39
Delhi,3,2703,3,24,1,3,3950864.43
Bhopal,6,3419,3,19,0,2,3283535.09
Ahmedabad,2,2102,1,21,2,4,2518471.71
Bhopal,3,2504,2,17,2,1,2394812.36
Bhopal,4,2849,3,8,1,4,3360055.76
Kolkata,4,2692,1,3,2,2,3473866.21
Delhi,6,3438,2,11,2,4,6164568.83
Bhopal,3,2781,3,13,0,2,2737636.5
Mumbai,1,2319,4,21,0,3,3501397.37
Coimbatore,5,2630,2,24,2,3,3647891.76
Bhopal,1,1874,2,10,1,2,1793721.89
Coimbatore,3,2895,4,16,1,3,3483057.21
Mumbai,5,2858,3,11,1,1,4968201.4
Jaipur,1,2018,1,22,1,2,1675949.21
Ahmedabad,1,2183,4,25,2,3,2757107.49
Kolkata,1,2004,2,7,0,2,2133964.22
Delhi,4,3031,4,16,0,3,4754335.3
Visakhapatnam,6,3392,2,25,0,4,3633861.17
Delhi,6,3047,2,16,1,1,4544301.72
Bengaluru,4,2420,3,25,0,2,3958479.23
Lucknow,2,2315,4,8,0,2,2580049.91
Lucknow,4,2897,4,23,1,4,3807198.34
Jaipur,4,2617,1,17,0,2,2539647.11
Coimbatore,3,2278,1,8,1,2,2438248.26
Bengaluru,6,2532,1,18,2,2,4706153.97
Pune,6,3356,3,12,1,2,4606394.28
Hyderabad,4,2540,3,20,0,1,3240581.05
Visakhapatnam,1,2027,3,11,1,4,2560334.3
Coimbatore,5,2901,3,20,1,2,3571303.93
Delhi,4,2371,3,12,0,2,4163424.88
Nagpur,4,2332,1,8,0,2,2425125.66
Coimbatore,2,2068,2,29,2,1,1880905.81
Lucknow,5,2748,2,5,0,3,3341254.16
Coimbatore,6,3193,1,21,1,3,3488766.7
Nagpur,5,2139,1,11,2,1,2658217.7
Bhopal,1,1684,1,14,0,1,1190932.26
Kolkata,4,2560,4,19,0,3,3589757.12
Jaipur,6,2942,2,2,0,1,3741379.08
Mumbai,4,2297,1,17,2,3,4343457.99
Lucknow,5,3129,2,8,1,1,3355908.62
Ahmedabad,6,3010,1,21,1,1,3071026.41
Nagpur,1,1850,4,8,0,2,2249977.49
Nagpur,3,2644,2,28,1,4,2631743.44
Mumbai,2,2024,1,17,2,4,3749582.41
Pune,6,3432,4,12,1,2,5142229.2
Bengaluru,1,1911,1,7,0,4,2835545.26
Chennai,1,2048,1,11,2,1,2157614.28
Mumbai,6,2819,2,20,1,3,5423322.5
Mumbai,4,2433,1,2,0,2,3896814.89
Visakhapatnam,1,2222,3,13,1,3,2398740.11
Kolkata,6,2686,1,21,0,1,2978889.95
Bengaluru,2,2204,2,18,1,3,3409726.11
Jaipur,5,2524,3,21,2,1,3731454.54
Delhi,3,2473,2,0,0,4,4207871.11
Kolkata,4,2476,3,8,1,4,3948602.27
Nagpur,4,3003,2,18,0,2,2493146.6
Coimbatore,6,2649,1,28,0,1,2857138.54
Kolkata,5,3086,4,24,2,4,4685062.97
Chennai,5,2999,4,6,1,1,4650712.99
Visakhapatnam,6,3288,2,22,1,4,3917843.94
Hyderabad,4,2601,4,11,0,1,3921824.14
Mumbai,6,3079,3,16,0,2,5384472.28
Bhopal,3,2055,1,26,1,2,1925727.65
Jaipur,3,2907,4,13,0,1,3083770.2
Bengaluru,6,2571,2,21,2,4,5777568.43
Visakhapatnam,4,2140,2,19,0,4,2748632.3
Delhi,2,2177,3,13,1,1,3283087.45
Ahmedabad,2,2260,4,14,1,2,2880359.16
Hyderabad,4,2671,4,19,2,4,5139919.44
Hyderabad,4,2618,4,4,1,1,4213485.83
Jaipur,6,3005,1,24,0,4,3772483.16
Kolkata,1,1719,1,8,0,3,2031884.34
Ahmedabad,5,2457,2,15,2,4,3864803.34
Delhi,3,1702,1,10,0,4,3592669.4
Delhi,5,3105,4,9,2,3,5803890.28
Coimbatore,4,2142,1,15,0,2,2374175.29
Bengaluru,3,2440,3,16,2,3,4409879.23
Ahmedabad,5,2495,3,25,2,1,3448860.85
Bengaluru,2,2679,4,25,0,4,4082154.35
Hyderabad,3,2278,2,18,0,1,2949933.39
Visakhapatnam,4,2683,2,5,1,2,2919045.46
Coimbatore,3,1990,1,3,1,1,2453357.88
Bhopal,6,3053,1,15,1,4,3719598.33
Bhopal,5,2666,2,10,1,1,3058939.53
Ahmedabad,6,2743,1,15,2,4,4034689.47
Visakhapatnam,5,2611,4,1,2,2,4094373.52
Coimbatore,5,2381,2,6,2,2,3546517.12
Hyderabad,4,2709,3,16,2,4,4782528.7
Kolkata,5,2327,2,16,1,4,3748193.47
Delhi,3,2902,4,5,0,2,4324345.66
Kolkata,5,2174,3,26,2,3,4034917.86
Coimbatore,6,3062,2,3,0,2,3946884.15
Lucknow,6,2799,3,10,2,3,4295517.85
Bhopal,2,2312,2,6,2,3,2580467.09
Coimbatore,1,2363,3,6,2,4,2944515.53
Lucknow,5,2281,4,0,2,3,4318933.03
Visakhapatnam,4,3121,1,18,2,1,2497818.36
Bengaluru,4,2274,2,0,0,1,3984819.23
Pune,3,2452,2,25,1,3,3415536.86
Chennai,1,2233,3,14,0,1,2316575.3
Delhi,4,2725,1,13,2,2,3888651.23
Coimbatore,6,3246,4,26,0,3,3996426.68
Coimbatore,6,2591,1,11,1,4,3850567.05
Kolkata,6,2968,3,16,2,1,4300173.14
Bengaluru,6,2882,3,11,0,4,5799798.44
Visakhapatnam,2,2243,3,29,2,2,2596936.59
Nagpur,6,2432,2,6,1,4,3817357.37
Chennai,6,2473,1,2,0,2,3940600.65
Coimbatore,5,2462,1,21,1,1,2511912.07
Kolkata,3,2835,3,0,0,2,3340122.78
Lucknow,3,2429,1,14,1,4,2645315.52
Coimbatore,2,2149,1,1,0,3,2489971.11
Lucknow,1,2258,3,23,1,3,2456354.28
Hyderabad,6,3235,3,15,2,2,5178914.57
Chennai,5,2726,1,18,2,2,3799330.85
Kolkata,5,2792,4,5,0,3,4368642.16
Pune,2,2397,3,27,1,3,3124443.58
Mumbai,2,2580,4,19,2,1,4088230.01
Hyderabad,6,3089,3,18,1,2,4921689.67
Bhopal,5,2715,2,21,0,3,2917734.55
Kolkata,1,2039,4,9,1,3,2900940.13
Bengaluru,5,2662,3,12,2,4,5699134.28
Jaipur,1,2144,3,5,2,2,2830310.86
Delhi,5,2677,1,11,0,2,3887166.48
Nagpur,5,2752,1,23,2,1,2781081.67
Pune,6,3160,2,7,2,4,5047665.9
Visakhapatnam,1,2064,2,9,2,4,2620719.75
Bhopal,1,1807,2,20,0,4,1912724.06
Coimbatore,3,2380,1,7,0,1,1995143.46
Bengaluru,2,2591,3,23,2,1,3456763.61
Lucknow,2,2138,3,2,1,4,3159214.79
Jaipur,6,2913,4,12,1,3,4827868.4
Bengaluru,4,2530,1,1,2,1,3873149.67
Bhopal,6,2478,1,26,2,1,3150598.63
Coimbatore,1,2054,3,27,2,1,2117684.48
Mumbai,6,2918,3,17,2,1,5555175.79
Mumbai,4,2996,4,25,1,1,4567285.06
Jaipur,2,2174,2,3,0,4,2823444.85
Nagpur,5,2849,3,23,2,2,3261129.39
Mumbai,6,2568,3,19,0,2,5240154.43
Hyderabad,1,2061,1,22,2,4,2919079.6
Ahmedabad,5,2898,1,18,1,2,3364442.29
Coimbatore,6,3104,3,17,0,4,4239770.62
Bhopal,5,3199,2,11,0,2,2998678.18
Pune,5,2989,3,27,0,1,3412215.06
Chennai,6,2746,1,15,2,4,4897747.17
Bhopal,5,2782,1,17,1,1,2799684.98
Mumbai,1,2002,2,20,2,4,3457684.6
Delhi,3,2104,2,28,2,2,3661548.41
Hyderabad,3,2260,1,20,0,3,2765003.25
Jaipur,4,2942,3,8,2,3,4141043.91
Coimbatore,5,2845,2,17,2,3,3568413.11
Nagpur,3,2766,4,13,0,1,2435968.28
Delhi,2,2447,2,5,2,4,4146899.08
Mumbai,3,2784,2,25,2,3,4256772.32
Jaipur,4,2545,4,12,1,3,4309626.64
Jaipur,5,2682,1,8,0,1,2841941.11
Visakhapatnam,3,2419,2,17,2,2,2792034.77
Mumbai,6,2678,1,0,2,1,5109547.87
Bengaluru,5,2410,1,18,2,4,4945841.38
Nagpur,5,2446,2,25,0,3,2932351.35
Ahmedabad,5,2936,4,22,2,2,4007750.24
Delhi,4,2792,2,29,2,3,4161963.07
Chennai,4,2515,1,13,1,3,3616406.65
Ahmedabad,1,1885,2,29,2,2,1959967.01
Nagpur,5,2829,2,28,1,2,2867163.01
Chennai,5,2686,2,2,2,4,4873516.0
Delhi,1,1848,2,14,1,2,2557221.39
Hyderabad,3,2372,3,5,0,1,3274730.14
Bhopal,2,1877,3,23,1,4,2589556.32
Jaipur,1,1587,1,6,2,3,2231154.47
Hyderabad,6,2940,3,10,2,3,5342486.76
Lucknow,5,2621,2,6,1,4,3800543.39
Delhi,5,2521,1,10,2,3,4730611.53
Kolkata,2,2431,4,9,1,3,3261081.76
Jaipur,4,2791,1,4,2,2,3342323.89
Jaipur,2,2247,2,4,0,3,2986127.84
Pune,2,1829,2,14,0,3,2836803.27
Lucknow,6,2779,1,9,2,2,3511441.07
Kolkata,3,1951,1,21,1,4,2627202.43
Jaipur,2,2676,2,23,2,4,3093088.61
Bengaluru,2,1972,1,16,0,2,2673829.23
Chennai,6,2727,1,5,2,2,4627339.26
Bengaluru,2,2762,3,14,0,4,3922071.1
Lucknow,5,2944,1,10,2,3,3486220.32
Hyderabad,2,2368,4,9,2,4,4451800.6
Visakhapatnam,4,2966,2,3,0,4,3261783.23
Lucknow,2,2268,2,17,2,3,2474924.67
Chennai,6,3616,3,6,1,1,4706496.97
Pune,4,2254,4,19,0,1,3652929.82
Bengaluru,2,2496,4,5,0,1,3455826.9
Chennai,4,2203,1,5,2,1,3366650.92
Hyderabad,4,2417,2,27,2,1,3550337.27
Nagpur,6,3177,4,4,2,4,4477747.38
Delhi,1,2576,4,11,0,4,3658213.64
Nagpur,4,2710,3,25,2,1,2669622.19
Kolkata,2,2181,3,20,1,2,2743258.4
Visakhapatnam,1,1962,3,26,2,4,2449897.29
Mumbai,2,1861,1,0,2,1,3099234.09
Lucknow,5,2697,1,18,2,1,3007301.43
Kolkata,6,2754,2,13,2,3,4442895.2
Kolkata,3,2074,1,14,0,4,2805388.19
Bhopal,5,2616,3,7,1,4,3755480.05
Lucknow,3,2481,3,13,2,4,3554722.71
Nagpur,2,2282,4,14,2,4,3119764.39
Chennai,3,3124,4,29,1,3,3699233.26
Lucknow,3,2483,4,24,2,2,3296201.13
Visakhapatnam,6,2644,1,15,2,2,3306441.17
Jaipur,6,3119,2,15,0,2,3741900.18
Ahmedabad,4,2510,3,1,2,1,3489539.51
Chennai,4,1898,1,25,0,2,3069605.8
Jaipur,5,2576,4,1,0,1,3808270.72
Mumbai,2,2171,3,18,0,1,3071794.85
Coimbatore,4,2588,4,11,2,3,3852368.92
Coimbatore,5,2502,1,22,0,4,3336037.91
Jaipur,1,2104,2,7,2,3,2590472.48
Pune,1,2198,2,27,2,2,2585160.66
Bhopal,1,1973,3,0,0,1,1923569.22
Chennai,1,2165,3,23,1,3,2962523.11
Bhopal,4,2617,4,0,2,2,3507835.01
Ahmedabad,1,1923,1,27,0,3,1639900.25
Coimbatore,5,3040,3,20,1,3,3548133.03
Pune,5,2965,2,28,1,4,4142418.26
Lucknow,1,2226,3,8,0,4,2582941.3
Ahmedabad,1,2127,1,29,2,3,2141679.08
Delhi,1,1857,3,2,2,3,3553358.44
Coimbatore,4,2373,4,10,2,4,4066473.47
Nagpur,2,2198,3,27,1,4,2365974.63
Lucknow,1,2344,4,4,0,3,2489617.83
Hyderabad,4,2545,2,15,2,2,3994007.44
Nagpur,3,2571,4,19,1,1,2411094.21
Coimbatore,3,2594,2,17,1,1,2546380.82
Kolkata,6,2793,3,12,0,2,4271963.18
Jaipur,3,2429,3,20,0,3,3090797.81
Chennai,6,2705,2,5,1,2,4523093.73
Pune,6,2702,2,24,1,2,3919378.04
Pune,2,2291,2,15,2,3,3130762.04
Chennai,1,1883,1,8,0,4,2269882.9
Lucknow,1,1544,1,4,1,3,2266053.92
Lucknow,3,2651,4,27,2,3,3175278.52
Jaipur,2,2648,3,19,1,2,2594361.28
Nagpur,5,3236,2,26,0,4,3185302.72
Jaipur,5,2189,1,0,2,3,3750625.04
Kolkata,6,3041,2,3,1,1,4012149.24
Coimbatore,5,2686,4,3,1,1,4076141.2
Bengaluru,6,2958,2,22,1,1,4563850.69
Delhi,3,2518,3,15,0,3,3873589.52
Pune,3,2166,4,28,2,3,3969698.54
Delhi,2,1943,4,1,1,2,3873280.9
Kolkata,6,3073,3,13,1,4,4663499.53
Mumbai,4,2704,2,7,2,2,4537613.41
Lucknow,6,2434,2,24,0,3,3562317.33
Nagpur,2,2415,4,10,1,2,2766710.6
Chennai,6,3219,2,9,1,1,4275266.14
Chennai,4,2404,4,25,0,3,3691086.93
Nagpur,4,2535,3,24,1,1,2452173.78
Kolkata,1,1913,2,13,0,2,2111811.69
Visakhapatnam,3,2726,4,3,2,1,3174709.99
Jaipur,6,3089,3,15,1,3,4424296.85
Delhi,5,2853,3,12,1,1,4495943.47
Kolkata,1,2257,3,29,2,2,2277705.12
Lucknow,5,3188,2,2,1,3,3751471.87
Delhi,6,2909,4,18,2,4,6202013.95
Hyderabad,4,2726,3,2,1,2,4330711.27
Visakhapatnam,2,2505,3,12,1,4,2668039.05
Visakhapatnam,1,2004,1,18,0,3,1702859.67
Pune,3,2143,3,3,2,3,3971553.68
Coimbatore,3,2341,4,20,1,4,3246256.51
Nagpur,3,2475,4,11,1,2,2911501.68
Chennai,1,1921,2,24,2,2,2405743.1
Bhopal,3,2235,1,5,0,2,2170061.15
Kolkata,1,1939,1,6,0,4,2384249.67
Ahmedabad,1,2356,1,28,1,1,1411889.0
Hyderabad,3,2471,2,28,0,4,3307851.93
Mumbai,2,2258,2,18,2,3,3864899.13
